839,其他,6-8天,1000-5000,父母,浦东机场博物馆/DFS烟酒免税店（樟宜机场T1抵达行李领取大厅）/新加坡泛太平洋酒店/河川生态园/Pan Pacific Singapore(Pan Pacific Singapore)/河川生态园/【牛货】新加坡河川生态园【河川茶居】精致午餐/鱼尾狮像公园/滨海步道/滨海艺术中心/滨海广场/新加坡泛太平洋酒店/小印度/Pan Pacific Singapore(Pan Pacific Singapore)/新加坡滨海湾花园/空中走廊OCBC Skyway/新加坡滨海湾花园/新加坡泛太平洋酒店/新加坡泛太平洋酒店/圣淘沙天际线斜坡滑车/SOFITEL SINGAPORE SENTOSA .../圣淘沙鱼尾狮塔/英比奥山/新加坡杜莎夫人蜡像馆/蝴蝶公园与昆虫王国/Tiger摩天塔/圣淘沙天际线斜坡滑车/圣淘沙名胜世界/时光之翼/圣淘沙鱼尾狮塔/仙鹤芭蕾演出/圣淘沙名胜世界/圣淘沙海滩/SOFITEL SINGAPORE SENTOSA .../SOFITEL SINGAPORE SENTOSA .../The Cliff 餐厅/丹戎海滩/巴拉湾海滩/圣淘沙奇幻乐园/Gogreen思维车探险旅程/SOFITEL SINGAPORE SENTOSA .../新加坡缆车/怡丰城/珍宝火锅/SOFITEL SINGAPORE SENTOSA .../新加坡樟宜机场/Charles&Keith
840,9-11月,6-8天,1000-5000,情侣/夫妻,南京火车站/中山陵园风景区/侵华日军南京大屠杀遇难同胞纪念馆/无锡太湖/水浒城/三国城/无锡木棉花酒店/苏州留园/苏州摩天轮/苏州秋裤大楼/周庄/周庄水之韵酒店/南京路步行街/外滩/上海杜莎夫人蜡像馆/上海城隍庙/金茂大厦/新天地/上海世博园/世纪公园
841,9-11月,6-8天,10000以上,情侣/夫妻,钟山风景名胜区/太湖仙岛/瀛洲公园/广惠桥/乌镇/哈尔滨/厦门大学/鼓浪屿/五缘湾湿地公园/黄山风景区
842,6-8月,1-2天,1000以内,情侣/夫妻,中国航海博物馆/上海临港豪生大酒店/上海/芦潮港/滴水湖
843,3-5月,1-2天,1000以内,独行,上海/武康路/武康大楼/武康庭/新天地
844,其他,1-2天,1000以内,父母,上海/老城隍庙/豫园
845,3-5月,1-2天,1000以内,朋友,上海/襄阳公园/新天地
846,3-5月,15天以上,10000以上,朋友,上海维也纳酒店/香港飞机上/香港机场/纽约机场/新泽西酒店/纽约/自由女神像/联合国总部/圣派翠克大教堂/洛克菲勒中心大厦/时代广场/华盛顿/尼亚加拉大瀑布/布法罗/布法罗机场
847,3-5月,6-8天,1000-5000,情侣/夫妻,上海/乌镇/嘉兴/乌镇旮旯小屋主题客栈/如家快捷酒店（上海天目东路宝山路地铁站店）/西栅/东栅/三白酒作坊/茅盾故居/修真观/外滩
848,其他,3-5天,1000-5000,独行,田子坊/新天地/嘉善老市/上海/七宝老街/老码头/人民广场
849,其他,1-2天,1000以内,朋友,上海/武康大楼
850,12-2月,1-2天,1000以内,父母,上海湾
851,6-8月,6-8天,1000-5000,朋友,杭州/上海/马可波罗假日酒店/西湖/灵隐寺/南宋御街/飞来峰/南京路步行街/宾龙商务酒店/外滩/人民广场/上海博物馆/上海老街/田子坊/上海环球金融中心/东昌路渡口/东方明珠
852,9-11月,1-2天,1000以内,朋友,海鲜鱼市
853,其他,3-5天,1000-5000,朋友,珠海金湾机场/杭州萧山国际机场/杭州水墨居怡情游多多客栈/灵隐寺/杭州永福寺福泉茶院/清河坊街/杭州水墨居怡情游多多客栈/太子湾公园/西湖/君来·湖滨饭店-四季庭/鼋头渚/乌镇这些年·唯美邂逅酒店/东栅/西栅/南栅
854,6-8月,1-2天,1000以内,朋友,崇明
855,6-8月,15天以上,1000-5000,朋友,上海/杭州/西湖/苏堤/乌镇/东栅/西栅/苏州/拙政园/留园/狮子林/南园/虎丘/观前街/山塘街/外滩/东方明珠/淮海路/新天地
856,12-2月,3-5天,1000以内,朋友,上海/人民广场/徐家汇天主教堂/田子坊/松江/上海影视乐园/外白渡桥/外滩/东方明珠/人民公园/1933老场坊/甜爱路/鲁迅公园/鲁迅故居/鲁迅纪念馆
857,其他,1-2天,1000以内,朋友,老典家怀旧古董西洋茶
858,9-11月,1-2天,1000以内,独行,方塔园
859,9-11月,6-8天,1000-5000,独行,上海/观前街/苏州/寒山寺/虎丘/苏州博物馆/拙政园/海上小喔/外滩/豫园/上海老街/上海博物馆/田子坊/东方明珠/乌镇/中华艺术宫/西栅/老木头/东栅/望河人家客栈/杭州/吴山广场/西湖
860,3-5月,3-5天,10000以上,朋友,上海/南京/东方明珠/外滩/上海影视乐园/上海杜莎夫人蜡像馆/欢乐谷/崇明岛/杭州/夫子庙/总统府/玄武湖/南京图书馆/夫子庙秦淮河风光带
861,6-8月,1-2天,1000以内,独行,上海/古猗园/嘉定区/九曲桥/云翔寺/古漪园/唐经幢
862,3-5月,1-2天,10000以上,朋友,黄山/上海/石笋矼/始信峰/黑虎松/狮林大酒店/清凉台/狮子峰/光明顶/北海宾馆/迎客松/百步云梯/一线天/天都峰
863,9-11月,1-2天,1000以内,独行,上海梦之园
864,其他,3-5天,5000-10000,父母,沈阳北站/星海公园/速8酒店（大连辰熙店）/大连圣亚海洋世界/大连周水子机场/上海浦东机场/康铂酒店（上海外滩店）/外滩/南京路步行街/上海科技馆/上海杜莎夫人蜡像馆/杭州灵隐（飞来峰）景区/西湖/杭州雷锋塔/豫园/上海浦东机场/沈阳桃仙国际机场
865,其他,1-2天,1000以内,独行,8号线西藏南路站/地铁8号线曲阜路站/四行仓库/西藏路桥/四行仓库/四行仓库/四行仓库，上海/四行天地，上海/西藏路桥，上海/苏州河/中共中央三大后历史陈列馆/浙江北路桥/福建路桥，上海/山西路桥，上海/河南路桥，上海/四川北路邮局，上海/上海邮政博物馆/四川北路邮局，上海/上海邮政博物馆/四川北路邮局，上海/四川北路桥，上海
866,3-5月,1-2天,1000以内,独行,上海/上海鲜花港
867,其他,1-2天,1000以内,独行,光头生煎/大世界，上海/上海博物馆/地铁十二号线国际客运中心站/北外滩滨江绿地/国际客运中心，上海/北外滩滨江绿地/1929 Art Space/上海博物馆
868,3-5月,1-2天,5000-10000,朋友,人民广场/文海餐厅/梅花节4号停车场/上海海湾国家森林公园/海湾森林&#183;梅园/楚梅阁/唐梅厅/探香湖/探香桥
869,3-5月,3-5天,1000以内,独行,上海/商丘/东方明珠/乌镇/杭州/豫园/小桥流水人家/老木头/西湖/岳庙/雷峰塔
870,6-8月,1-2天,1000以内,情侣/夫妻,上海/中华艺术宫/上海玻璃博物馆
871,9-11月,1-2天,1000以内,独行,上海/蓝山国际青年旅舍（上海虹桥店）/外滩
872,3-5月,3-5天,1000-5000,朋友,上海/上海博物馆/上海和平饭店/外滩/东方明珠/豫园/磁悬浮列车
873,6-8月,1-2天,1000以内,朋友,崇明岛国家地质公园/东平国家森林公园/东平国家森林公园/崇明岛饭店/东滩湿地公园/东滩湿地公园
874,3-5月,1-2天,1000以内,父母,朱家角/上海/北大街/珠溪园/放生桥/课植园/圆津禅院/大观园/水上运动场/寻梦园
875,其他,1-2天,1000以内,朋友,上海/外滩
876,9-11月,1-2天,1000以内,情侣/夫妻,外滩/上海/和平饭店/斯沃琪和平饭店艺术中心
877,其他,1-2天,1000以内,父母,上海/朱家角
878,其他,1-2天,1000以内,情侣/夫妻,东岳观/新场古镇/新场历史文化陈列馆
879,3-5月,1-2天,1000以内,独行,上海博物馆
880,9-11月,3-5天,1000-5000,朋友,日照/成都/九寨沟/重庆/树正沟/则查洼沟/日则沟/原始森林/箭竹海/熊猫海/熊猫海瀑布/珍珠滩瀑布/静海/诺日朗瀑布/若尔盖/九曲黄河第一湾
881,12-2月,1-2天,1000以内,朋友,上海/静安寺/静安公园/苏州河/梦清园/静安雕塑公园/上海自然博物馆/人民公园/人民广场
882,6-8月,9-14天,5000-10000,情侣/夫妻,上海兰笋山庄/欢乐谷/上海国丰酒店/I.Z.K.Y.居酒屋（国丰大酒店）/长风海洋世界/高岛屋百货/Farine(1号店)/全季酒店（上海火车站天目西路店）/M50创意园/甜爱路/外滩/大丸百货/汉庭酒店（上海人民广场店）/K11购物艺术中心/田子坊/老城隍庙/绿波廊/外滩/翠华餐厅(西藏南路店)/韩膳宫烧烤(市一百店)/上海永星主题精品酒店/上海新国际博览中心/泰谣/第一八佰伴/避风塘(八佰伴店)
883,3-5月,1-2天,1000以内,独行,汉庭酒店/汉庭酒店/上海
884,6-8月,1-2天,1000-5000,父母,和平
885,9-11月,1-2天,1000以内,朋友,古漪园/喜来登/上海/嘉定孔庙/法华塔/相东佛像艺术馆
886,其他,6-8天,1000-5000,朋友,杭州东站/西湖/岳王庙景区/灵隐寺/西塘芳满庭精品酒店/西塘风景区/送子来凤桥/西塘外婆家鸡脚（唐家弄店）/西塘酒吧/上海科技馆/中华艺术宫/田子坊/外滩/上海老街/南翔馒头店(淮海路店)/狮子林/拙政园/虎丘/山塘古街/瞻园/夫子庙/夫子庙秦淮河风光带/乌衣巷/中华门瓮城/南京大牌档(龙江店)/侵华日军南京大屠杀遇难同胞纪念馆/南京总统府/玄武湖/外婆家/灵谷景区/中山陵园风景区/禄口国际机场
887,9-11月,6-8天,1000-5000,情侣/夫妻,好牧羊人教堂/特卡波湖/库克山国家公园/箭镇/DoubleTree by Hilton Queenstown(皇后镇逸林酒店)/皇后镇/峡湾国家公园/瓦卡蒂普湖/皇后镇/库克山国家公园/奥克兰海港大桥/奥克兰工党纪念碑/爱歌顿农场/政府花园/红木森林公园/华卡雷瓦雷瓦地热保护区/罗托鲁瓦/毛利文化村/奥克兰
888,其他,1-2天,5000-10000,独行,苏州河/梦清园/莫干山路/长风公园/外白渡桥/外滩/田子坊/上海
889,9-11月,1-2天,10000以上,独行,洋山深水港/洛迦山/短姑圣迹/33米高南海观音/紫竹林/千步沙/慧济寺/梵音洞/法雨寺/普济禅寺/普陀山西天景区/朱家尖
890,12-2月,1-2天,1000以内,独行,上海/朱家角/放生桥
891,9-11月,1-2天,1000-5000,朋友,上海美术电影制片厂/上海
892,9-11月,3-5天,1000-5000,朋友,黄山/秀山/上海/云谷寺/白鹅岭/始信峰/黑虎松/梦笔生花/北海宾馆/清凉台/北海宾馆/西海饭店/丹霞峰/排云楼宾馆/排云楼宾馆/白云宾馆/西海大峡谷/白云宾馆/仙人晒靴/飞来石/光明顶/步仙桥/鳌鱼峰/百步云梯/莲花峰/迎客松/一线天/杭州
893,9-11月,1-2天,1000以内,朋友,上海/武康路/上海图书馆/武康庭/华山路/巴金故居/武康大楼/外滩
894,其他,1-2天,1000以内,父母,云翔寺
895,3-5月,1-2天,1000以内,情侣/夫妻,上海鲜花港/上海
896,9-11月,1-2天,1000以内,朋友,松江/泰晤士小镇/上海
897,6-8月,1-2天,1000-5000,独行,上海/外滩/新天地/田子坊/中华艺术宫/淮海路/苏州河/梦清园
898,其他,6-8天,1000-5000,独行,外滩/乌镇/西湖/西湖
899,6-8月,1-2天,1000以内,独行,上海/上海环球金融中心/东方明珠/柏悦酒店/苏州河/外白渡桥/外滩
900,9-11月,1-2天,1000以内,朋友,上海/希尔顿/希尔顿/华山路/静安寺
901,其他,1-2天,1000-5000,朋友,上海/思南路/新天地/华山路/思南公馆酒店
902,9-11月,1-2天,1000以内,独行,醉白池
903,9-11月,1-2天,1000以内,父母,上海/希尔顿/上海动物园/希尔顿
904,9-11月,1-2天,5000-10000,朋友,上海/黄炎培故居
905,3-5月,9-14天,10000以上,朋友,京都/西本愿寺
906,其他,1-2天,1000以内,父母,豫园
907,9-11月,1-2天,1000以内,情侣/夫妻,泰晤士小镇/上海菲堤酒店
908,6-8月,9-14天,1000以内,独行,明月湾古村/平江路历史街区/第一海水浴场/鲁迅公园/圣保罗教堂/钟山风景名胜区/鸡鸣寺/鉴湖/鲁镇/八字桥/青藤书屋/天津劝业场/南市食品街/昌庆宫/梨花壁画村/N首尔塔/中文旅游区/药泉寺/乌镇/山沟沟景区/万国建筑博览/阳澄湖莲花岛/上海/镇江/焦山古炮台/焦山/日照/甪直古镇/泰国/武汉大学/武昌起义纪念馆/户部巷/昙华林/武汉/桃花岛风景区/磁器口古镇/重庆十八梯/重庆/平遥古县衙/王家大院/壶口瀑布/平遥古城/双林寺
909,9-11月,1-2天,1000以内,情侣/夫妻,欢乐谷/上海
910,9-11月,1-2天,10000以上,朋友,上海/人民广场/外滩/外滩悦榕庄
911,6-8月,1-2天,1000以内,独行,上海/世纪公园/人民公园/古猗园
912,6-8月,9-14天,1000-5000,父母,乌镇/狮子林/外滩/南京/南京京格商务酒店/夫子庙/玄武湖/中山陵/总统府/南京大福门酒店/苏州/唐寅园/山塘街/苏州水韵时尚快捷酒店/杭州/西湖/杭州禧德花园酒店/寒山寺/西湖游船/宋城/上海/上海司麦脱宾馆/外白渡桥/豫园/上海博物馆/1933老场坊
913,3-5月,1-2天,1000以内,独行,16号线新场站出站就看到了一片田园/新场地铁站到新场古镇的公交 /新场古镇/午餐：吴记羊肉馆
914,3-5月,6-8天,5000-10000,朋友,西栅/西栅露天电影/老邮局/西栅夜游/东栅/三白酒作坊/外滩/外白渡桥/豫园/上海城隍庙/小梅园/唐家饼，上海/沈大成（南京东路店）/M&amp;M巧克力工厂，上海/南京路步行街/人民广场/外滩/虎丘/苏州园林博物馆/拙政园/狮子林/观前街/叶受和（观前街店）/采芝卉/苏州美食节/雷峰塔/西湖/太子湾公园/苏堤/三潭印月/花港观鱼/南方迷宗大包/复旦大学
915,9-11月,6-8天,10000以上,情侣/夫妻,西教堂/阿姆斯特丹红灯区/埃菲尔铁塔/巴黎圣母院/奥赛博物馆/香榭丽舍大街/塞纳河/兰布拉大道/圣家族大教堂/柏林电视塔/东边画廊/国会大厦/菩提树下大街/查理检查站/欧洲被害犹太人纪念碑/柏林大教堂/链子桥/安德拉什大街/布拉格天文钟/伏尔塔瓦河/布拉格老城广场/君士坦丁凯旋门/罗马斗兽场/圣天使桥/西斯廷教堂/圣母百花大教堂/老桥/Strøget 步行街/奥林匹克博物馆/丽池公园/马约尔广场/马德里市政广场/米兰大教堂/大教堂广场/老城/斯德哥尔摩王宫/瓦萨沉船博物馆/朱丽叶故居/维也纳音乐协会/里亚托桥/圣马可大教堂/叹息桥/布拉诺岛/苏黎世/班霍夫大街/圣彼得教堂/因特拉肯/克里普索人妖秀 曼谷/素贴山/首尔/什刹海酒吧街/人民英雄纪念碑/人民大会堂/帽儿胡同/徐家汇公园/藏龙百瀑/中国大竹海/信号山公园/公主楼/天幕城/芦笛岩/《新梦幻漓江》大型山水情景剧/七星景区
916,9-11月,1-2天,5000-10000,情侣/夫妻,外滩/上海/和平饭店/斯沃琪和平饭店艺术中心
917,6-8月,6-8天,1000-5000,朋友,苏州/上海/同里古镇/拙政园/外滩/南京路步行街/思南路/新天地/同里/观前街/徐家汇天主教堂/中华艺术宫/人民广场
918,其他,3-5天,1000-5000,朋友,长沙南站/长沙站/长沙南站/杭州东站/杭州如家/如家快捷酒店（杭州西湖延安路龙翔地铁站店）/西湖/雷峰塔/清河坊街/灵隐寺/清河坊街/新白鹿餐厅(西湖文化广场店)/灵隐寺/如家快捷酒店（杭州西湖延安路龙翔地铁站店）/西湖/清河坊街/西湖/杭州市上城区延安路225 号 龙翔里二弄101 室/西风瘦马/西街/送子来凤桥/西街/烟雨长廊/西塘风景区/烟雨长廊/西塘风景区/烟雨长廊/送子来凤桥/烟雨长廊/西园/嘉善南站/上海虹桥站/上海虹桥国际机场/虹桥机场2号航站楼贵宾厅/上海虹桥国际机场
919,其他,1-2天,1000以内,朋友,上海世博园/泰亭泰国时尚餐厅(正大乐城店) 其它4家分店/正大乐城
920,3-5月,9-14天,1000-5000,朋友,南京/苏州/上海/嘉兴/乌镇/杭州/玄武湖/总统府/莫愁湖/中山陵/西湖/山塘街/小桥流水人家/寒山寺/狮子林/沧浪亭/拙政园/外滩/南湖/西栅/断桥残雪/花港观鱼/柳浪闻莺/苏堤/曲院风荷/三潭印月
921,3-5月,1-2天,1000以内,情侣/夫妻,崇明
922,12-2月,6-8天,5000-10000,独行,陆家嘴中心绿地/上海/上海海洋水族馆/东方明珠/国际会议中心/滨江大道/外滩/1933老场坊/黄兴公园/同乐坊/马勒别墅/长乐路/武康路/武康大楼/巴金故居/华山路/田子坊/新天地/放生桥/朱家角古镇景区/朱家角/召稼楼/圆津禅院/广场公园/上海音乐厅
923,9-11月,1-2天,1000以内,朋友,滴水湖/上海/上海野生动物园/南汇嘴智选假日酒店
924,12-2月,3-5天,1000-5000,朋友,宝健路/七星路/山君不离/上海/济州岛/温州/大众空港宾馆/A one酒店
925,9-11月,1-2天,1000以内,朋友,崇明/崇明东滩湿地公园/崇明岛
926,6-8月,1-2天,1000以内,独行,奉贤/金山城市沙滩/平湖/上海/青浦/松江/金山区/东栅/西栅/东林寺
927,6-8月,3-5天,1000-5000,情侣/夫妻,中山公园/锦江之星/锦江之星/锦江之星/外滩/上海
928,3-5月,9-14天,10000以上,父母,上海/上海/上海浦东国际机场/悉尼机场/悉尼鱼市/悉尼的家/邦迪海滩/悉尼晚餐/悉尼邮局/悉尼将军桥/悉尼小姑父的车/悉尼市政厅/圣玛丽大教堂/悉尼街景/堪培拉造币厂/堪培拉小人国/伯利.格里芬湖/战争纪念馆/国会大厦/堪培拉一日游早晨集合/堪培拉随拍/堪培拉一日游回到悉尼的晚餐/斯蒂芬港海豚/斯蒂芬港一日游动物园/斯蒂芬港一日游回到悉尼的晚餐日本料理/斯蒂芬港一日游坐悉尼的火车回家/明信片/斯蒂芬港一日游滑沙/斯蒂芬港一日游家里的早餐/斯蒂芬港一日游中午船上的午餐/悉尼随拍/塔斯玛尼亚小熊/悉尼歌剧院/悉尼海港大桥/悉尼午餐/达令港/悉尼塔/皇家植物园/悉尼海德公园/圣玛丽大教堂/岩石区/墨尔本随拍/墨尔本海洋公园/库克船长小屋（外观）/圣保罗大教堂/墨尔本随拍/十二门徒岩/墨尔本黄金博物馆/墨尔本疏芬山/黄金海岸随拍/天堂农庄/华纳电影世界/黄金海岸晚餐/黄金海岸/黄金海岸晚餐和随拍/黄金海岸热气球/黄金海岸庄园早餐/黄金海岸/黄金海岸海洋世界/凯恩斯景色和随拍/凯恩斯植物园/凯恩斯晚餐越南菜/凯恩斯外堡礁/凯恩斯回悉尼/凯恩斯土著人部落公园/凯恩斯缆车/悉尼拍卖房子/金唐澳龙
929,其他,1-2天,5000-10000,情侣/夫妻,上海/静安寺/上海雅悦酒店/外滩
930,6-8月,1-2天,1000以内,朋友,崇明
931,9-11月,1-2天,1000-5000,独行,上海/鲁迅故居
932,12-2月,1-2天,1000以内,独行,上海植物园
933,3-5月,1-2天,1000以内,独行,上海/华东政法大学/佘山国家旅游度假区
934,9-11月,3-5天,1000-5000,朋友,上海/外滩/豫园/金茂88层观光厅
935,9-11月,1-2天,1000-5000,情侣/夫妻,上海柏悦酒店
936,6-8月,1-2天,1000以内,朋友,上海
937,3-5月,6-8天,1000-5000,朋友,上海/7天/豫园/外滩/上海影视乐园/泰晤士小镇/朱家角/甜爱路
938,其他,15天以上,1000以内,独行,宾县英杰温泉酒店/哈尔滨太平国际机场/哈尔滨镜泊路/外滩情人墙/昆山花桥外包服务基地/苏州园林博物馆/山塘古街/文化街/上海市浦东新区世纪大道1号/百顺楼酒家/周庄古镇客房/贞丰文化街/虎丘路婚纱一条街/昆山花桥外包服务基地/昆山巴城阳澄湖大闸蟹养殖基地/上海市浦东新区世纪大道1号/伊示雅咖啡厅(新白云国际机场)/广州动物园/地铁1、3号线（体育西路站）/广州番禺大石/广州番禺大石沙涌路62号/佛山海八路中海锦城国际花园3街6栋/虾饺妹(水荫店)/山海城海鲜酒楼/西樵山风景名胜区/中央大街/岩手拉麵(砵蘭街正)/西洋菜街/巴黎咖啡(登打士街店)/香港忠诚宾馆(Chung Shing Hotel)/零食物语(沙田地铁站)/通菜街/PENNYBLACK（新界沙田新城市广场店）/通菜街/妙法寺
939,6-8月,1-2天,1000以内,独行,上海/豫园/古漪园/古猗园/南翔古镇
940,6-8月,1-2天,1000以内,朋友,崇明岛/崇明
941,6-8月,1-2天,1000以内,独行,上海/外滩/田子坊/7天/宜必思/东方明珠/豫园
942,9-11月,3-5天,1000-5000,情侣/夫妻,厦门/苏州河/柏悦酒店大堂餐厅/静安寺/东方明珠/新天地/东栅/乌镇舒悦客栈/西栅/乌镇那一年小院主题餐厅/乌镇
943,其他,1-2天,1000以内,独行,世纪公园
944,9-11月,1-2天,10000以上,独行,成都金珠玉沙酒店/成都/上海/宽窄巷子/新天地/田子坊/杜甫草堂/青羊宫/锦里/成都映象
945,其他,1-2天,1000-5000,情侣/夫妻,朱家角/放生桥/课植园/大清邮局
946,3-5月,1-2天,1000以内,朋友,滴水湖
947,其他,9-14天,1000-5000,朋友,上海/杭州/乌镇/西湖/灵隐寺/长桥/飞来峰/西栅/龙悦宾馆/东栅/叙昌酱园/南京路步行街/外滩/复旦大学/东方明珠/上海科技馆/外白渡桥/人民广场/南京/南京大屠杀遇难同胞纪念馆/夫子庙
948,9-11月,1-2天,1000以内,朋友,上海驿岛酒店/上海
949,3-5月,1-2天,1000以内,朋友,崇明/崇明岛/锦绣宾馆
950,12-2月,9-14天,1000-5000,情侣/夫妻,三亚/上海/江西/瑞金/海口/途家斯维登/大小洞天/上饶/三清山
951,9-11月,1-2天,1000以内,朋友,上海/苏州/布丁/同里/拙政园/虎丘
952,其他,1-2天,1000以内,朋友,上海/崇明岛
953,9-11月,15天以上,1000-5000,情侣/夫妻,朱家角/周庄/上海/枫泾古镇
954,其他,3-5天,1000-5000,父母,上海站/香港/佳记餐厅/香港尖沙咀皇悦酒店(Empire Hotel Kowloon－Tsim .../尖沙咀/星光大道/维多利亚港/金紫荆广场/庙街夜市/庙街/佐敦，香港/香港/香港/源记茶餐厅/上海浦东国际机场
955,6-8月,1-2天,1000以内,朋友,根宝足球基地/崇明
956,其他,1-2天,1000以内,朋友,青浦/上海
957,9-11月,3-5天,1000-5000,独行,赣州/上海虹桥/上海博物馆/人民广场/南京路步行街/上海环球金融中心/外滩/上海     /外滩/豫园/上海自然博物馆/静安寺/田子坊/观光车/朱家角古镇景区/ 虹桥
958,其他,1-2天,1000以内,朋友,克莉丝汀 港汇旗舰店 Christine/桌游/四川香天下火锅(徐家汇店)
959,6-8月,15天以上,5000-10000,父母,上海/南京/上海博物馆
960,其他,3-5天,5000-10000,朋友,上海/上海图书馆/人民广场/外滩/南京路步行街
961,其他,3-5天,5000-10000,朋友,东方既白(机场西航站楼店ED店)/马尼拉国际机场 专车接机服务/马尼拉大教堂/塔比拉兰机场/Alona Palm Beach Resort/阿罗娜海滩/巧克力山/薄荷岛
962,其他,1-2天,1000-5000,独行,苏州河/上海
963,3-5月,1-2天,1000以内,情侣/夫妻,上海/格林联盟/豫园/上海老街/上海海洋水族馆/外滩/东方明珠/陈毅广场
964,其他,1-2天,1000-5000,朋友,上海/红坊/上海电影博物馆/1933老场坊/城市雕塑艺术中心
965,9-11月,1-2天,10000以上,朋友,三宝粥铺（金陵东路店）/PIER39号码头/长乐路/拉亚汉堡(宜山路店)/1933老场坊/红场俄式西餐酒吧 Red Square
966,其他,1-2天,1000以内,独行,甜爱路/上海
967,9-11月,9-14天,10000以上,独行,大邑/成都/九寨沟/峨眉山/都江堰/四川/上海/香港/庐山/人民公社
968,6-8月,6-8天,5000-10000,独行,新天地/上海/外滩/豫园/苏州河/七宝老街/松江/朱家角/人民广场/鲁迅公园/鲁迅故居
969,3-5月,1-2天,1000以内,朋友,朱家角/大清邮局/圆津禅院/课植园
970,9-11月,6-8天,1000-5000,朋友,上海/上海中福大酒店/南京/外滩/苏州/苏州香雪海饭店/虎丘/留园/拙政园/山塘街/夫子庙/杭州/中山陵/往事客栈/西湖/断桥残雪/曲院风荷/杨公堤/花港观鱼/雷峰塔/苏堤/三潭印月/白堤/乌镇/西栅
971,6-8月,9-14天,1000-5000,父母,新客站/西安站/兰州火车站/舌尖尖牛肉面/兰州火车站/敦煌敦和大酒店/莫高窟/余记驴肉黄面/鸣沙山月牙泉/敦煌影视古城/阳关遗址/雅丹地质公园/汉长城/玉门关/河仓城/瓜州站/榆林窟/柳园火车站/鄯善站/库尔勒站/库尔勒莲花湖/黑白抓饭/孔雀河/天山西路 库尔勒/卡拉水库/218国道/米兰/米兰/米兰/三十六团/三十六团/若羌县楼兰博物馆/羊羊羊抓饭，若羌/若羌县
972,6-8月,6-8天,1000-5000,情侣/夫妻,飞机/上海闵行区/三清山外双溪索道/日上山庄/阳光海岸景区/三清宫/西海岸景区/南清园景区/重庆
973,6-8月,6-8天,1000-5000,朋友,上海/外滩/外白渡桥/上海邮政博物馆/人民广场/东方明珠/陈毅广场/南京路步行街/田子坊/豫园/老城隍庙/古戏台/乌镇/西栅/杭州/西湖/曲院风荷/雷峰塔/苏堤/南屏晚钟/花港观鱼/断桥残雪
974,6-8月,6-8天,1000-5000,独行,桃仙机场/中华艺术宫/上海月亮船（原世博会沙特馆）/意大利馆/新天地/徐家汇天主教堂/外滩/乌镇/东栅/西栅/西湖/岳王庙景区/河坊街/武林广场/南京总统府/中山陵园风景区/夫子庙秦淮河风光带/新街口/滨江道商业街\u3000/意大利风情区/水滴体育场/五大道/古文化街/解放桥
975,6-8月,1-2天,1000以内,情侣/夫妻,上海辰山植物园/上海
976,9-11月,6-8天,5000-10000,情侣/夫妻,上海浦东机场/斗湖/卡帕莱岛/卡帕莱岛/卡帕莱岛/仙本那/茨厂街/吉隆坡/云顶游乐园
977,12-2月,9-14天,1000-5000,情侣/夫妻,上海国际时尚中心/上海国际时尚中心/上海国际时尚中心/上海国际时尚中心/上海国际时尚中心/上海国际时尚中心/上海国际时尚中心/上海国际时尚中心/上海国际时尚中心
978,12-2月,1-2天,1000以内,朋友,新天地/上海/田子坊
979,6-8月,6-8天,1000-5000,父母,上海/上海汇江假日酒店/外滩/豫园/人民广场/东方明珠/上海科技馆/东昌路渡口/世纪公园/上海龙馨宾馆
980,12-2月,1-2天,1000-5000,朋友,秋霞圃/上海/大观园
981,12-2月,1-2天,1000以内,朋友,上海/外滩/豫园/徐家汇天主教堂/欢乐谷/泰晤士小镇/南京路步行街/人民广场/东方明珠/老城隍庙/城隍庙旅游区
982,3-5月,1-2天,1000以内,独行,上海辰山植物园
983,3-5月,1-2天,1000-5000,朋友,奉贤海湾旅游区
984,6-8月,1-2天,1000-5000,独行,上海/大观园
985,3-5月,1-2天,1000以内,朋友,朱家角/上海
986,3-5月,1-2天,1000以内,朋友,泰晤士小镇/上海辰山植物园
987,其他,3-5天,1000以内,朋友,外滩/豫园/上海琉璃艺术博物馆/田子坊/复旦大学/上海/人民广场/上海博物馆/东方明珠/外白渡桥/九曲桥/新天地/上海大剧院
988,6-8月,1-2天,1000以内,独行,枫泾古镇/上海/锦江乐园
989,9-11月,9-14天,10000以上,独行,玄武湖/夫子庙秦淮河风光带/豫园/外滩/西栅/西湖/洱海/洱海/苍山/丽江古城/束河古镇/蓝月谷/玉龙雪山/黑龙潭公园/丽江古城
990,12-2月,1-2天,1000以内,朋友,滴水湖/松江/上海
991,12-2月,1-2天,1000以内,情侣/夫妻,上海/东方明珠/欢乐谷
992,3-5月,1-2天,5000-10000,朋友,上海翊园/上海浦东老宅
993,9-11月,6-8天,10000以上,独行,杭州/苏堤/满陇桂雨/九溪烟树/西湖/花港观鱼/西塘/上海/田子坊/思南路/外滩/甜爱路
994,6-8月,1-2天,5000-10000,朋友,高乐雅咖啡/TOOMi
995,3-5月,9-14天,10000以上,朋友,上海/珀斯/西澳
996,12-2月,1-2天,1000-5000,情侣/夫妻,上海/静安寺/思南路/桔子酒店/长乐路
997,12-2月,3-5天,1000-5000,独行,黑风洞/马来西亚/上海/南京/台湾/静安寺
